caldt,t30ret,cpiret
19500131,0.000988,-0.004237
19500228,0.000905,0.000000
19500331,0.000926,0.004255
19500428,0.000858,0.000000
19500531,0.001068,0.004237
19500630,0.000969,0.004219
19500731,0.000984,0.012605
19500831,0.000974,0.008299
19500929,0.001019,0.004115
19501031,0.001220,0.008197
19501130,0.001051,0.004065
19501229,0.001105,0.012146
19510131,0.001262,0.016000
19510228,0.001049,0.011811
19510330,0.001069,0.003891
19510430,0.001285,0.000000
19510531,0.001164,0.003876
19510629,0.001161,0.000000
19510731,0.001395,0.000000
19510831,0.001252,0.000000
19510928,0.001212,0.007722
19511031,0.001509,0.003831
19511130,0.001076,0.007634
19511231,0.001300,0.003788
19520131,0.001444,0.000000
19520229,0.001151,-0.007547
19520331,0.001077,0.000000
19520430,0.001229,0.003802
19520529,0.001305,0.000000
19520630,0.001486,0.003788
19520731,0.001501,0.007547
19520829,0.001467,0.000000
19520930,0.001584,0.000000
19521031,0.001252,0.000000
19521128,0.001049,0.000000
19521231,0.001753,0.000000
19530130,0.001620,-0.003745
19530227,0.001402,-0.003759
19530331,0.001892,0.003774
19530430,0.001636,0.000000
19530529,0.001722,0.003759
19530630,0.001798,0.003745
19530731,0.001377,0.000000
19530831,0.001666,0.003731
19530930,0.001509,0.000000
19531030,0.001252,0.003717
19531130,0.000770,-0.003704
19531231,0.001013,0.000000
19540129,0.001091,0.000000
19540226,0.000708,0.000000
19540331,0.000794,0.000000
19540430,0.000888,-0.003717
19540528,0.000510,0.003731
19540630,0.000567,0.000000
19540730,0.000507,0.000000
19540831,0.000614,0.000000
19540930,0.000847,-0.003717
19541029,0.000696,0.000000
19541130,0.000662,0.000000
19541231,0.000709,-0.003731
19550131,0.000808,0.000000
19550228,0.000852,0.000000
19550331,0.000914,0.000000
19550429,0.001042,0.000000
19550531,0.001400,0.000000
19550630,0.000855,0.000000
19550729,0.001000,0.003745
19550831,0.001603,0.000000
19550930,0.001617,0.003731
19551031,0.001818,0.000000
19551130,0.001725,0.000000
19551230,0.001808,-0.003717
19560131,0.002281,0.000000
19560229,0.001862,0.000000
19560329,0.001516,0.000000
19560430,0.001851,0.003731
19560531,0.002218,0.003717
19560629,0.001984,0.007407
19560731,0.001653,0.007353
19560831,0.001690,-0.003650
19560928,0.001837,0.003663
19561031,0.002528,0.003650
19561130,0.002045,0.000000
19561231,0.002485,0.003636
19570131,0.002586,0.000000
19570228,0.002389,0.003623
19570329,0.002311,0.003610
19570430,0.002690,0.003597
19570531,0.002581,0.003584
19570627,0.002410,0.003571
19570731,0.002950,0.007117
19570830,0.002520,0.000000
19570930,0.002568,0.000000
19571031,0.002590,0.000000
19571129,0.002767,0.003534
19571231,0.002485,0.000000
19580131,0.002213,0.007042
19580228,0.001207,0.000000
19580331,0.000944,0.006993
19580430,0.000840,0.003472
19580529,0.001093,0.000000
19580630,0.000297,0.000000
19580731,0.000582,0.003460
19580829,0.000448,-0.003448
19580930,0.001774,0.000000
19581031,0.001427,0.000000
19581128,0.001089,0.003460
19581231,0.002148,-0.003448
19590130,0.002051,0.003460
19590227,0.001882,-0.003448
19590331,0.002153,0.000000
19590430,0.001941,0.003460
19590529,0.002189,0.000000
19590630,0.002519,0.003448
19590731,0.002192,0.003436
19590831,0.001861,0.000000
19590930,0.002915,0.003425
19591030,0.003015,0.003413
19591130,0.002554,0.000000
19591231,0.002525,0.000000
19600129,0.003318,-0.003401
19600229,0.002863,0.003413
19600331,0.003240,0.000000
19600429,0.001944,0.003401
19600531,0.002699,0.000000
19600630,0.001920,0.003390
19600729,0.001330,0.000000
19600831,0.001632,0.000000
19600930,0.001578,0.000000
19601031,0.002156,0.006757
19601130,0.001293,0.000000
19601230,0.001553,0.000000
19610131,0.001940,0.000000
19610228,0.001649,0.000000
19610330,0.002012,0.000000
19610428,0.001746,0.000000
19610531,0.001774,0.000000
19610630,0.002008,0.000000
19610731,0.001824,0.006711
19610831,0.001358,-0.003333
19610929,0.001677,0.003344
19611031,0.001921,0.000000
19611130,0.001607,0.000000
19611229,0.001864,0.000000
19620131,0.002348,0.000000
19620228,0.001989,0.003333
19620330,0.002007,0.000000
19620430,0.002278,0.003322
19620531,0.002296,0.000000
19620629,0.001937,0.000000
19620731,0.002727,0.003311
19620831,0.002180,0.000000
19620928,0.002072,0.003300
19621031,0.002533,0.000000
19621130,0.002021,0.000000
19621231,0.002519,0.000000
19630131,0.002512,0.000000
19630228,0.002260,0.000000
19630329,0.002262,0.003289
19630430,0.002661,0.000000
19630531,0.002430,0.000000
19630628,0.002282,0.003279
19630731,0.002784,0.003268
19630830,0.002484,0.000000
19630930,0.002755,0.000000
19631031,0.002919,0.003257
19631129,0.002659,0.000000
19631231,0.003060,0.003247
19640131,0.002866,0.000000
19640228,0.002636,0.000000
19640331,0.003298,0.000000
19640430,0.002904,0.000000
19640528,0.002570,0.000000
19640630,0.003136,0.003236
19640731,0.002808,0.003226
19640831,0.002772,-0.003215
19640930,0.002686,0.003226
19641030,0.002997,0.000000
19641130,0.002915,0.003215
19641231,0.003040,0.000000
19650129,0.002915,0.000000
19650226,0.003198,0.000000
19650331,0.003486,0.003205
19650430,0.003118,0.003195
19650528,0.003283,0.000000
19650630,0.003380,0.006369
19650730,0.003218,0.000000
19650831,0.003309,0.000000
19650930,0.003114,0.000000
19651029,0.003391,0.003165
19651130,0.003380,0.000000
19651231,0.003126,0.003155
19660131,0.003630,0.000000
19660228,0.003481,0.006289
19660331,0.003795,0.003125
19660429,0.003638,0.006231
19660531,0.004043,0.000000
19660630,0.003672,0.003096
19660729,0.003847,0.003086
19660831,0.004119,0.006154
19660930,0.003890,0.000000
19661031,0.004389,0.006116
19661130,0.003932,0.000000
19661230,0.003630,0.000000
19670131,0.003927,0.000000
19670228,0.003743,0.000000
19670331,0.003693,0.003040
19670428,0.003344,0.003030
19670531,0.003126,0.003021
19670630,0.002674,0.003012
19670731,0.003153,0.003003
19670831,0.003240,0.002994
19670929,0.003177,0.002985
19671031,0.003649,0.002976
19671130,0.003416,0.002967
19671229,0.003565,0.002959
19680131,0.003934,0.005900
19680229,0.003849,0.002933
19680329,0.003977,0.002924
19680430,0.004263,0.002915
19680531,0.004672,0.002907
19680628,0.004436,0.005797
19680731,0.004790,0.005764
19680830,0.004476,0.002865
19680930,0.004203,0.002857
19681031,0.004394,0.005698
19681129,0.004457,0.002833
19681231,0.004249,0.002825
19690131,0.005025,0.002817
19690228,0.004619,0.005618
19690328,0.004802,0.008380
19690430,0.004859,0.005540
19690529,0.005215,0.002755
19690630,0.005137,0.005495
19690731,0.005520,0.005464
19690829,0.005890,0.005435
19690930,0.005856,0.002703
19691031,0.005724,0.005391
19691128,0.005509,0.005362
19691231,0.005846,0.005333
19700130,0.005781,0.002653
19700227,0.006167,0.005291
19700331,0.005542,0.005263
19700430,0.005286,0.007853
19700529,0.005546,0.002597
19700630,0.005546,0.005181
19700731,0.004886,0.005155
19700831,0.005020,0.000000
19700930,0.005034,0.005128
19701030,0.004954,0.005102
19701130,0.004489,0.005076
19701231,0.003786,0.005051
19710129,0.003777,0.000000
19710226,0.003344,0.002513
19710331,0.002924,0.002506
19710430,0.002804,0.002500
19710528,0.003127,0.004988
19710630,0.003505,0.007444
19710730,0.004272,0.002463
19710831,0.004446,0.002457
19710930,0.003630,0.000000
19711029,0.003855,0.002451
19711130,0.003506,0.000000
19711231,0.003152,0.004890
19720131,0.002850,0.000000
19720229,0.002659,0.004866
19720330,0.002590,0.002421
19720428,0.002962,0.002415
19720531,0.002942,0.002410
19720630,0.002800,0.002404
19720731,0.003084,0.004796
19720831,0.002988,0.002387
19720929,0.003546,0.002381
19721031,0.003891,0.004751
19721130,0.003739,0.002364
19721229,0.004185,0.002358
19730131,0.004410,0.002353
19730228,0.004277,0.007042
19730330,0.004750,0.009324
19730430,0.005002,0.006928
19730531,0.005098,0.006881
19730629,0.005379,0.006834
19730731,0.006540,0.002262
19730831,0.006855,0.018059
19730928,0.006749,0.002217
19731031,0.006856,0.008850
19731130,0.005529,0.006579
19731231,0.006961,0.006536
19740131,0.006274,0.008658
19740228,0.005819,0.012876
19740329,0.005677,0.012712
19740430,0.007949,0.004184
19740531,0.007235,0.012500
19740628,0.006892,0.008230
19740731,0.006756,0.008163
19740830,0.005940,0.012146
19740930,0.007997,0.012000
19741031,0.005254,0.009881
19741129,0.005139,0.007828
19741231,0.007009,0.007767
19750131,0.005387,0.003854
19750228,0.004326,0.007678
19750331,0.004014,0.003810
19750430,0.004489,0.003795
19750530,0.004869,0.005671
19750630,0.004133,0.007519
19750731,0.004811,0.011194
19750829,0.004815,0.001845
19750930,0.005575,0.005525
19751031,0.005185,0.005495
19751128,0.004127,0.007286
19751231,0.004983,0.003617
19760130,0.004402,0.001802
19760227,0.003452,0.003597
19760331,0.004344,0.001792
19760430,0.004440,0.003578
19760528,0.004124,0.007130
19760630,0.004446,0.005310
19760730,0.004390,0.005282
19760831,0.004745,0.005254
19760930,0.003924,0.003484
19761029,0.004092,0.005208
19761130,0.004440,0.001727
19761231,0.003579,0.003448
19770131,0.003594,0.005155
19770228,0.003499,0.010256
19770331,0.003769,0.006768
19770429,0.004114,0.008403
19770531,0.003855,0.005000
19770630,0.003716,0.006633
19770729,0.003873,0.004942
19770831,0.004993,0.003279
19770930,0.004330,0.003268
19771031,0.004943,0.003257
19771130,0.004959,0.004870
19771230,0.004700,0.003231
19780131,0.005374,0.006441
19780228,0.004941,0.006400
19780331,0.005017,0.007949
19780428,0.005712,0.007886
19780531,0.005317,0.009390
19780630,0.005369,0.010853
19780731,0.005591,0.007669
19780831,0.005550,0.004566
19780929,0.005964,0.007576
19781031,0.007498,0.009023
19781130,0.007041,0.004471
19781229,0.007372,0.004451
19790131,0.007882,0.008863
19790228,0.007324,0.011713
19790330,0.008928,0.010130
19790430,0.008489,0.011461
19790531,0.008161,0.012748
19790629,0.007858,0.011189
19790731,0.008410,0.011065
19790831,0.007506,0.009576
19790928,0.007732,0.010840
19791031,0.009621,0.008043
19791130,0.009878,0.009309
19791231,0.010209,0.010540
19800131,0.007968,0.014342
19800229,0.010654,0.014139
19800331,0.012009,0.015209
19800430,0.012865,0.011236
19800530,0.007883,0.009877
19800630,0.006312,0.011002
19800731,0.005281,0.000000
19800829,0.005973,0.007255
19800930,0.008698,0.008403
19801031,0.008912,0.009524
19801128,0.008895,0.008255
19801231,0.014149,0.009357
19810130,0.009957,0.008111
19810227,0.010685,0.010345
19810331,0.013157,0.006826
19810430,0.010756,0.006780
19810529,0.010646,0.007856
19810630,0.015158,0.008909
19810731,0.011915,0.011038
19810831,0.012804,0.007642
19810930,0.012794,0.009751
19811030,0.011685,0.002146
19811130,0.011030,0.003212
19811231,0.008738,0.003202
19820129,0.007306,0.003191
19820226,0.009176,0.003181
19820331,0.011077,-0.001057
19820430,0.011290,0.004233
19820528,0.009592,0.009484
19820630,0.010710,0.012526
19820730,0.010210,0.005155
19820831,0.008342,0.002051
19820930,0.005118,0.002047
19821029,0.005475,0.003064
19821130,0.007201,-0.002037
19821231,0.006289,-0.004082
19830131,0.006864,0.002049
19830228,0.006186,0.001022
19830331,0.006326,0.000000
19830429,0.006918,0.007150
19830531,0.007584,0.006085
19830630,0.006661,0.003024
19830729,0.006917,0.004020
19830831,0.008342,0.003003
19830930,0.007607,0.004990
19831031,0.007433,0.002979
19831130,0.007199,0.001980
19831230,0.007039,0.000988
19840131,0.008083,0.005923
19840229,0.007328,0.004907
19840330,0.007280,0.001953
19840430,0.008130,0.004873
19840531,0.007898,0.002910
19840629,0.007534,0.002901
19840731,0.008755,0.003857
19840831,0.007963,0.003842
19840928,0.008293,0.004785
19841031,0.009766,0.002857
19841130,0.007334,0.000000
19841231,0.006923,0.000000
19850131,0.006474,0.001899
19850228,0.006033,0.004739
19850329,0.006160,0.003774
19850430,0.007565,0.004699
19850531,0.006062,0.003742
19850628,0.005546,0.002796
19850731,0.006196,0.001859
19850830,0.005792,0.001855
19850930,0.006049,0.002778
19851031,0.006021,0.003693
19851129,0.006156,0.002760
19851231,0.006139,0.002752
19860131,0.004865,0.002745
19860228,0.005296,-0.002737
19860331,0.005963,-0.004575
19860430,0.005341,-0.001838
19860530,0.004934,0.002762
19860630,0.005246,0.005510
19860731,0.005011,0.000000
19860829,0.004614,0.001826
19860930,0.004783,0.004558
19861031,0.004209,0.000907
19861128,0.003924,0.000907
19861231,0.004767,0.000906
19870130,0.004151,0.006335
19870227,0.004309,0.003597
19870331,0.005012,0.004480
19870430,0.004285,0.005352
19870529,0.003760,0.003549
19870630,0.005031,0.003537
19870731,0.004058,0.002643
19870831,0.004744,0.005272
19870930,0.004820,0.005245
19871030,0.006040,0.002609
19871130,0.003366,0.000867
19871231,0.002988,0.000000
19880129,0.002762,0.002600
19880229,0.004564,0.002593
19880331,0.004402,0.004310
19880429,0.004577,0.005150
19880531,0.005051,0.003416
19880630,0.004832,0.004255
19880729,0.005060,0.004237
19880831,0.005957,0.004219
19880930,0.006145,0.006723
19881031,0.006074,0.003339
19881130,0.005742,0.000832
19881230,0.006306,0.001663
19890131,0.005766,0.004979
19890228,0.006110,0.004129
19890331,0.006213,0.005757
19890428,0.006810,0.006541
19890531,0.008006,0.005686
19890630,0.007147,0.002423
19890731,0.007040,0.002417
19890831,0.006684,0.001608
19890929,0.006387,0.003210
19891031,0.006820,0.004800
19891130,0.006340,0.002389
19891229,0.005941,0.001589
19900131,0.005852,0.010309
19900228,0.005818,0.004710
19900330,0.006380,0.005469
19900430,0.006829,0.001554
19900531,0.006404,0.002327
19900629,0.005898,0.005418
19900731,0.006704,0.003849
19900831,0.006154,0.009202
19900928,0.005984,0.008359
19901031,0.006559,0.006029
19901130,0.005651,0.002247
19901231,0.005989,0.000000
19910131,0.004637,0.005979
19910228,0.004767,0.001486
19910328,0.004391,0.001484
19910430,0.005335,0.001481
19910531,0.004461,0.002959
19910628,0.004171,0.002950
19910731,0.004840,0.001471
19910830,0.004610,0.002937
19910930,0.004558,0.004392
19911031,0.004246,0.001458
19911129,0.003915,0.002911
19911231,0.003792,0.000726
19920131,0.003059,0.001450
19920228,0.002828,0.003621
19920331,0.003376,0.005051
19920430,0.003303,0.001436
19920529,0.002758,0.001434
19920630,0.003201,0.003579
19920731,0.002892,0.002140
19920831,0.002605,0.002847
19920930,0.002573,0.002839
19921030,0.002286,0.003539
19921130,0.002346,0.001410
19921231,0.002270,-0.000704
19930129,0.002335,0.004933
19930226,0.002209,0.003506
19930331,0.002538,0.003494
19930430,0.002372,0.002786
19930528,0.002168,0.001389
19930630,0.002756,0.001387
19930730,0.002402,0.000000
19930831,0.002530,0.002770
19930930,0.002356,0.002072
19931029,0.002210,0.004135
19931130,0.002477,0.000686
19931231,0.002263,0.000000
19940131,0.002503,0.002743
19940228,0.002120,0.003420
19940331,0.002469,0.003408
19940429,0.002711,0.001359
19940531,0.003150,0.000678
19940630,0.003118,0.003390
19940729,0.002751,0.002703
19940831,0.003687,0.004043
19940930,0.003659,0.002685
19941031,0.003840,0.000669
19941130,0.003691,0.001338
19941230,0.004430,0.000000
19950131,0.004156,0.004008
19950228,0.003983,0.003992
19950331,0.004134,0.003313
19950428,0.004450,0.003303
19950531,0.005355,0.001975
19950630,0.004714,0.001971
19950731,0.004522,0.000000
19950831,0.004637,0.002623
19950929,0.004309,0.001962
19951031,0.004714,0.003264
19951130,0.004108,-0.000651
19951229,0.004882,-0.000651
19960131,0.004278,0.005863
19960229,0.003908,0.003238
19960329,0.003943,0.005165
19960430,0.004579,0.003854
19960531,0.003982,0.001919
19960628,0.004000,0.000639
19960731,0.004497,0.001914
19960830,0.004122,0.001911
19960930,0.004375,0.003179
19961031,0.004246,0.003169
19961129,0.003941,0.001895
19961231,0.004404,0.000000
19970131,0.004014,0.003153
19970228,0.003788,0.003143
19970331,0.004310,0.002506
19970430,0.004313,0.001250
19970530,0.004263,-0.000624
19970630,0.003744,0.001249
19970731,0.004294,0.001248
19970829,0.004058,0.001869
19970930,0.004576,0.002488
19971031,0.003911,0.002481
19971128,0.003773,-0.000619
19971231,0.004629,-0.001238
19980130,0.004204,0.001860
19980227,0.003847,0.001856
19980331,0.004485,0.001853
19980430,0.004308,0.001850
19980529,0.003805,0.001846
19980630,0.004021,0.001229
19980731,0.003873,0.001227
19980831,0.004012,0.001225
19980930,0.003875,0.001224
19981030,0.003353,0.002445
19981130,0.003233,0.000000
19981231,0.003779,-0.000610
19990129,0.003494,0.002441
19990226,0.003372,0.001217
19990331,0.004076,0.003040
19990430,0.003784,0.007273
19990528,0.003463,0.000000
19990630,0.004098,0.000000
19990730,0.003658,0.003008
19990831,0.003876,0.002400
19990930,0.003705,0.004788
19991029,0.003581,0.001787
19991130,0.003811,0.000595
19991231,0.003764,0.000000
20000131,0.004343,0.002971
20000229,0.004295,0.005924
20000331,0.004377,0.008245
20000428,0.004595,0.000584
20000531,0.004782,0.001168
20000630,0.003744,0.005248
20000731,0.004772,0.002320
20000831,0.005002,0.000000
20000929,0.005093,0.005208
20001031,0.005217,0.001727
20001130,0.004966,0.000575
20001229,0.004909,-0.000574
20010131,0.005243,0.006322
20010228,0.003653,0.003998
20010330,0.004320,0.002275
20010430,0.003864,0.003973
20010531,0.003183,0.004522
20010629,0.002778,0.001688
20010731,0.002999,-0.002809
20010831,0.002996,0.000000
20010928,0.002730,0.004507
20011031,0.002154,-0.003365
20011130,0.001749,-0.001688
20011231,0.001484,-0.003946
20020131,0.001390,0.002264
20020228,0.001285,0.003953
20020328,0.001341,0.005624
20020430,0.001546,0.005593
20020531,0.001442,0.000000
20020628,0.001312,0.000556
20020731,0.001507,0.001112
20020830,0.001402,0.003331
20020930,0.001414,0.001660
20021031,0.001334,0.001657
20021129,0.001166,0.000000
20021231,0.001079,-0.002206
20030131,0.000934,0.004422
20030228,0.000871,0.007705
20030331,0.001020,0.006008
20030430,0.000939,-0.002172
20030530,0.000903,-0.001632
20030630,0.000984,0.001090
20030731,0.000674,0.001089
20030829,0.000689,0.003806
20030930,0.000865,0.003250
20031031,0.000700,-0.001080
20031128,0.000725,-0.002703
20031231,0.000831,-0.001084
20040130,0.000696,0.004883
20040227,0.000623,0.005400
20040331,0.000844,0.006445
20040430,0.000795,0.003202
20040528,0.000603,0.005851
20040630,0.000817,0.003173
20040730,0.000919,-0.001581
20040831,0.001116,0.000528
20040930,0.001185,0.002111
20041029,0.001129,0.005266
20041130,0.001541,0.000524
20041231,0.001672,-0.003665
20050131,0.001661,0.002102
20050228,0.001641,0.005768
20050331,0.002123,0.007821
20050429,0.002072,0.006725
20050531,0.002395,-0.001028
20050630,0.002263,0.000514
20050729,0.002383,0.004627
20050831,0.002920,0.005118
20050930,0.002848,0.012220
20051031,0.002728,0.002012
20051130,0.003045,-0.008032
20051230,0.003160,-0.004049
20060131,0.003488,0.007622
20060228,0.003322,0.002017
20060331,0.003642,0.005536
20060428,0.003559,0.008509
20060531,0.004195,0.004963
20060630,0.003970,0.001975
20060731,0.003976,0.002957
20060831,0.004283,0.001966
20060929,0.004047,-0.004904
20061031,0.004076,-0.005421
20061130,0.004243,-0.001487
20061229,0.004036,0.001489
20070131,0.004328,0.003053
20070228,0.003837,0.005350
20070330,0.004257,0.009106
20070430,0.004348,0.006496
20070531,0.004046,0.006111
20070629,0.003918,0.001938
20070731,0.003962,-0.000254
20070831,0.004205,-0.001834
20070928,0.003347,0.002756
20071031,0.003212,0.002139
20071130,0.003395,0.005940
20071231,0.002921,-0.000671
20080131,0.002430,0.004971
20080229,0.001325,0.002904
20080331,0.001869,0.008668
20080430,0.001025,0.006065
20080530,0.000946,0.008421
20080630,0.001750,0.010077
20080731,0.001440,0.005251
20080829,0.001282,-0.003992
20080930,0.001530,-0.001383
20081031,0.000792,-0.010101
20081128,0.000228,-0.019153
20081231,0.000029,-0.010342
20090130,0.000023,0.004352
20090227,0.000147,0.004973
20090331,0.000159,0.002432
20090430,0.000125,0.002496
20090529,0.000017,0.002889
20090630,0.000075,0.008590
20090731,0.000119,-0.001586
20090831,0.000116,0.002243
20090930,0.000079,0.000625
20091030,0.000040,0.000963
20091130,0.000004,0.000708
20091231,0.000062,-0.001761
20100129,0.000028,0.003417
20100226,0.000010,0.000249
20100331,0.000068,0.004106
20100430,0.000111,0.001737
20100528,0.000112,0.000775
20100630,0.000127,-0.000976
20100730,0.000142,0.000211
20100831,0.000126,0.001381
20100930,0.000125,0.000582
20101029,0.000112,0.001245
20101130,0.000114,0.000421
20101231,0.000140,0.001718
20110131,0.000066,0.004763
20110228,0.000122,0.004931
20110331,0.000067,0.009751
20110429,0.000053,0.006439
20110531,0.000013,0.004704
20110630,0.000035,-0.001071
20110729,-0.000028,0.000886
20110831,0.000083,0.002758
20110930,-0.000001,0.001518
20111031,0.000014,-0.002063
20111130,0.000004,-0.000844
20111230,0.000000,-0.002467
20120131,-0.000002,0.004400
20120229,0.000031,0.004403
20120330,0.000046,0.007595
20120430,0.000029,0.003021
20120531,0.000065,-0.001173
20120629,0.000022,-0.001466
20120731,0.000032,-0.001630
20120831,0.000050,0.005565
20120928,0.000067,0.004462
20121031,0.000037,-0.000389
20121130,0.000085,-0.004738
20121231,0.000103,-0.002693
20130131,0.000022,0.002957
20130228,0.000054,0.008190
20130328,0.000041,0.002615
20130430,0.000037,-0.001040
20130531,0.000012,0.001780
20130628,0.000013,0.002400
20130731,0.000009,0.000394
20130830,0.000009,0.001203
20130930,0.000008,0.001163
20131031,0.000017,-0.002575
20131129,0.000032,-0.002042
20131231,0.000023,-0.000086
20140131,0.000012,0.003720
20140228,0.000045,0.003698
20140331,0.000028,0.006440
20140430,0.000015,0.003297
20140530,0.000008,0.003493
20140630,0.000020,0.001862
20140731,0.000013,-0.000390
20140829,0.000003,-0.001671
20140930,0.000004,0.000753
20141031,0.000012,-0.002512
20141128,-0.000001,-0.005399
20141231,0.000005,-0.005670
20150130,0.000013,-0.004706
20150227,-0.000021,0.004343
20150331,-0.000008,0.005952
20150430,0.000029,0.002033
20150529,-0.000005,0.005097
20150630,0.000004,0.003503
20150731,-0.000037,0.000067
20150831,0.000027,-0.001416
20150930,-0.000006,-0.001557
20151030,-0.000027,-0.000450
20151130,0.000020,-0.002111
20151231,0.000103,-0.003417
20160129,0.000037,0.001653
20160229,0.000205,0.000823
20160331,0.000190,0.004306
20160429,0.000051,0.004741
20160531,0.000115,0.004046
20160630,0.000188,0.003284
20160729,0.000171,-0.001618
20160831,0.000165,0.000918
20160930,0.000219,0.002404
20161031,0.000168,0.001247
20161130,0.000136,-0.001555
20161230,0.000239,0.000327
20170131,0.000358,0.005828
20170228,0.000364,0.003146
20170331,0.000353,0.000813
20170428,0.000537,0.002966
20170531,0.000614,0.000855
20170630,0.000617,0.000907
20170731,0.000722,-0.000690
20170831,0.000827,0.002994
20170929,0.000944,0.005295
20171031,0.000840,-0.000632
20171130,0.000826,0.000024
20171229,0.000884,-0.000588
20180131,0.001121,0.005448
20180228,0.001073,0.004535
20180329,0.000261,0.002261
20180430,0.001433,0.003975
20180531,0.001401,0.004159
20180629,0.001408,0.001594
20180731,0.001558,0.000067
20180831,0.001575,0.000556
20180928,0.001490,0.001162
20181031,0.001890,0.001767
20181130,0.001795,-0.003349
20181231,0.001930,-0.003194
